psnr = 8.80909
npcr = 99.6151%
uaci = 29.8886%
0 46 0
1 67 0
2 89 0
3 128 0
4 223 0
5 226 0
6 11 1
7 51 0
8 64 0
9 119 0
10 178 0
11 190 3
12 162 2
13 195 5
14 24 1
15 229 7
16 65 9
17 216 7
18 49 20
19 65 19
20 31 32
21 121 43
22 97 62
23 164 106
24 151 153
25 103 215
26 225 57
27 190 6
28 213 5
29 230 67
30 169 173
31 240 27
32 169 247
33 49 100
34 91 184
35 229 40
36 60 189
37 13 59
38 52 76
39 29 42
40 16 37
41 200 254
42 4 206
43 63 131
44 86 194
45 94 198
46 69 28
47 46 233
48 112 12
49 32 155
50 105 81
51 71 56
52 114 41
53 136 31
54 214 219
55 18 1
56 165 42
57 59 141
58 190 173
59 202 9
60 154 57
61 102 187
62 135 47
63 86 25
64 71 44
65 130 31
66 100 114
67 22 15
68 214 231
69 59 222
70 159 136
71 230 47
72 135 99
73 119 47
74 4 54
75 31 108
76 66 84
77 10 64
78 80 99
79 54 103
80 8 130
81 19 222
82 24 236
83 52 214
84 48 133
85 52 126
86 64 210
87 23 25
88 32 34
89 86 104
90 237 117
91 88 153
92 49 237
93 44 182
94 161 1
95 57 224
96 127 205
97 43 197
98 63 241
99 151 27
100 43 124
101 76 180
102 53 70
103 253 152
104 121 175
105 45 50
106 144 86
107 57 15
108 87 177
109 137 236
110 250 128
111 143 75
112 108 173
113 46 209
114 134 153
115 71 107
116 92 242
117 86 78
118 42 36
119 98 197
120 26 1
121 147 107
122 20 21
123 42 122
124 129 58
125 74 44
126 163 81
127 84 190
128 25 197
129 150 219
130 1 98
131 175 51
132 63 61
133 19 224
134 179 116
135 38 91
136 137 10
137 76 164
138 7 90
139 86 47
140 62 242
141 155 206
142 60 193
143 56 155
144 74 134
145 18 110
146 49 101
147 62 55
148 19 65
149 120 117
150 58 94
151 155 93
152 10 81
153 45 56
154 68 129
155 3 82
156 88 145
157 35 214
158 16 184
159 122 206
160 234 0
161 103 214
162 58 22
163 244 210
164 31 179
165 240 215
166 69 10
167 53 147
168 9 168
169 47 187
170 37 183
171 41 215
172 46 179
173 254 188
174 9 148
175 21 100
176 232 100
177 214 87
178 221 67
179 251 77
180 245 57
181 16 120
182 20 67
183 145 118
184 176 103
185 11 52
186 32 43
187 51 57
188 10 11
189 73 207
190 54 152
191 80 166
192 88 108
193 45 42
194 24 13
195 13 250
196 124 223
197 94 181
198 22 187
199 66 146
200 37 135
201 204 113
202 127 122
203 18 91
204 227 96
205 2 50
206 30 50
207 5 42
208 16 47
209 58 33
210 240 34
211 220 17
212 19 21
213 221 19
214 207 7
215 195 17
216 197 5
217 171 2
218 163 5
219 249 3
220 201 1
221 153 3
222 145 1
223 73 1
224 147 2
225 84 1
226 149 1
227 135 1
228 73 0
229 106 1
230 35 1
231 66 0
232 23 1
233 231 0
234 72 1
235 246 0
236 8 1
237 133 0
238 88 0
239 109 0
240 80 0
241 108 0
242 80 0
243 244 0
244 49 0
245 26 0
246 254 0
247 217 0
248 129 0
249 114 0
250 95 0
251 120 0
252 38 0
253 208 0
254 227 0
255 27 0
sample count = 26214
e1 = 124
e2 = 124
d1 = 75.1412
d2 = 75.0922
sum = 73937
cover = 0.000354451
e1 = 91
e2 = 91
d1 = 43.2736
d2 = 43.2401
sum = 47331392
stego = 0.964645
